#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.142477E-01   0.138598E+08   0.138408E+08  -0.203371E+04  -0.203455E+04   0.753517E+07   0.138267E+08   0.138567E+08   0.138267E+08  -0.312087E+00   0.699337E+07   0.699321E+07   0.374906E+01
   0.147306E-01   0.136556E+08   0.136355E+08  -0.187465E+04  -0.187543E+04   0.728449E+07   0.136221E+08   0.136522E+08   0.136221E+08  -0.307468E+00   0.688999E+07   0.688982E+07   0.380941E+01
   0.152299E-01   0.134472E+08   0.134260E+08  -0.172711E+04  -0.172783E+04   0.703509E+07   0.134133E+08   0.134436E+08   0.134133E+08  -0.302755E+00   0.678451E+07   0.678433E+07   0.386781E+01
   0.157462E-01   0.132346E+08   0.132123E+08  -0.159030E+04  -0.159096E+04   0.678751E+07   0.132003E+08   0.132308E+08   0.132003E+08  -0.297948E+00   0.667692E+07   0.667674E+07   0.392391E+01
   0.162799E-01   0.130178E+08   0.129944E+08  -0.146348E+04  -0.146409E+04   0.654209E+07   0.129833E+08   0.130139E+08   0.129832E+08  -0.293048E+00   0.656725E+07   0.656705E+07   0.397734E+01
   0.168317E-01   0.127969E+08   0.127724E+08  -0.134597E+04  -0.134653E+04   0.629898E+07   0.127621E+08   0.127928E+08   0.127621E+08  -0.288056E+00   0.645550E+07   0.645530E+07   0.402772E+01
   0.174022E-01   0.125720E+08   0.125462E+08  -0.123713E+04  -0.123764E+04   0.605828E+07   0.125369E+08   0.125677E+08   0.125369E+08  -0.282973E+00   0.634170E+07   0.634149E+07   0.407460E+01
   0.179921E-01   0.123431E+08   0.123160E+08  -0.113636E+04  -0.113683E+04   0.582017E+07   0.123077E+08   0.123385E+08   0.123077E+08  -0.277800E+00   0.622590E+07   0.622568E+07   0.411755E+01
   0.186019E-01   0.121102E+08   0.120819E+08  -0.104310E+04  -0.104353E+04   0.558491E+07   0.120746E+08   0.121055E+08   0.120746E+08  -0.272539E+00   0.610812E+07   0.610789E+07   0.415609E+01
   0.192324E-01   0.118736E+08   0.118440E+08  -0.956828E+03  -0.957224E+03   0.535282E+07   0.118378E+08   0.118686E+08   0.118378E+08  -0.267194E+00   0.598844E+07   0.598820E+07   0.418971E+01
   0.198843E-01   0.116333E+08   0.116023E+08  -0.877069E+03  -0.877432E+03   0.512430E+07   0.115973E+08   0.116281E+08   0.115973E+08  -0.261766E+00   0.586691E+07   0.586665E+07   0.421788E+01
   0.205583E-01   0.113895E+08   0.113572E+08  -0.803368E+03  -0.803700E+03   0.489968E+07   0.113534E+08   0.113840E+08   0.113534E+08  -0.256259E+00   0.574361E+07   0.574335E+07   0.424005E+01
   0.212551E-01   0.111423E+08   0.111087E+08  -0.735303E+03  -0.735606E+03   0.467910E+07   0.111061E+08   0.111367E+08   0.111061E+08  -0.250679E+00   0.561865E+07   0.561838E+07   0.425566E+01
   0.219755E-01   0.108921E+08   0.108571E+08  -0.672482E+03  -0.672760E+03   0.446269E+07   0.108558E+08   0.108862E+08   0.108558E+08  -0.245029E+00   0.549214E+07   0.549185E+07   0.426412E+01
   0.227204E-01   0.106390E+08   0.106027E+08  -0.614540E+03  -0.614793E+03   0.425074E+07   0.106027E+08   0.106329E+08   0.106027E+08  -0.239317E+00   0.536420E+07   0.536391E+07   0.426484E+01
   0.234905E-01   0.103834E+08   0.103458E+08  -0.561135E+03  -0.561366E+03   0.404365E+07   0.103472E+08   0.103771E+08   0.103472E+08  -0.233548E+00   0.523500E+07   0.523470E+07   0.425721E+01
   0.242867E-01   0.101257E+08   0.100867E+08  -0.511949E+03  -0.512160E+03   0.384168E+07   0.100894E+08   0.101191E+08   0.100894E+08  -0.227731E+00   0.510472E+07   0.510441E+07   0.424064E+01
   0.251099E-01   0.986610E+07   0.982591E+07  -0.466687E+03  -0.466879E+03   0.364497E+07   0.982994E+07   0.985935E+07   0.982994E+07  -0.221874E+00   0.497353E+07   0.497321E+07   0.421455E+01
   0.259610E-01   0.960517E+07   0.956379E+07  -0.425071E+03  -0.425246E+03   0.345370E+07   0.956914E+07   0.959822E+07   0.956914E+07  -0.215987E+00   0.484168E+07   0.484135E+07   0.417836E+01
   0.268410E-01   0.934337E+07   0.930086E+07  -0.386844E+03  -0.387004E+03   0.326808E+07   0.930752E+07   0.933623E+07   0.930752E+07  -0.210082E+00   0.470940E+07   0.470907E+07   0.413155E+01
   0.277508E-01   0.908125E+07   0.903770E+07  -0.351766E+03  -0.351911E+03   0.308843E+07   0.904561E+07   0.907394E+07   0.904561E+07  -0.204171E+00   0.457698E+07   0.457664E+07   0.407362E+01
   0.286914E-01   0.881940E+07   0.877490E+07  -0.319612E+03  -0.319743E+03   0.291491E+07   0.878402E+07   0.881193E+07   0.878402E+07  -0.198266E+00   0.444470E+07   0.444436E+07   0.400415E+01
   0.296639E-01   0.855847E+07   0.851314E+07  -0.290171E+03  -0.290291E+03   0.274757E+07   0.852339E+07   0.855086E+07   0.852339E+07  -0.192383E+00   0.431291E+07   0.431256E+07   0.392279E+01
   0.306693E-01   0.829915E+07   0.825312E+07  -0.263249E+03  -0.263358E+03   0.258664E+07   0.826442E+07   0.829142E+07   0.826442E+07  -0.186538E+00   0.418196E+07   0.418160E+07   0.382927E+01
   0.317089E-01   0.804219E+07   0.799561E+07  -0.238661E+03  -0.238760E+03   0.243230E+07   0.800786E+07   0.803437E+07   0.800786E+07  -0.180747E+00   0.405221E+07   0.405186E+07   0.372346E+01
   0.327837E-01   0.778837E+07   0.774142E+07  -0.216237E+03  -0.216326E+03   0.228463E+07   0.775448E+07   0.778049E+07   0.775448E+07  -0.175028E+00   0.392407E+07   0.392371E+07   0.360533E+01
   0.338949E-01   0.753851E+07   0.749137E+07  -0.195814E+03  -0.195895E+03   0.214368E+07   0.750510E+07   0.753060E+07   0.750510E+07  -0.169399E+00   0.379795E+07   0.379760E+07   0.347503E+01
   0.350437E-01   0.729344E+07   0.724632E+07  -0.177242E+03  -0.177315E+03   0.200956E+07   0.726056E+07   0.728553E+07   0.726056E+07  -0.163880E+00   0.367427E+07   0.367392E+07   0.333287E+01
   0.362315E-01   0.705401E+07   0.700711E+07  -0.160379E+03  -0.160445E+03   0.188231E+07   0.702170E+07   0.704613E+07   0.702170E+07  -0.158488E+00   0.355346E+07   0.355311E+07   0.317935E+01
   0.374596E-01   0.681927E+07   0.677284E+07  -0.145054E+03  -0.145113E+03   0.176139E+07   0.678758E+07   0.681148E+07   0.678758E+07  -0.153204E+00   0.343504E+07   0.343470E+07   0.301539E+01
   0.387293E-01   0.659156E+07   0.654584E+07  -0.131177E+03  -0.131231E+03   0.164726E+07   0.656052E+07   0.658388E+07   0.656052E+07  -0.148079E+00   0.332019E+07   0.331986E+07   0.284177E+01
   0.400421E-01   0.637190E+07   0.632712E+07  -0.118637E+03  -0.118686E+03   0.153990E+07   0.634155E+07   0.636438E+07   0.634155E+07  -0.143137E+00   0.320943E+07   0.320911E+07   0.265966E+01
   0.413993E-01   0.616111E+07   0.611754E+07  -0.107324E+03  -0.107368E+03   0.143918E+07   0.613149E+07   0.615380E+07   0.613149E+07  -0.138395E+00   0.310318E+07   0.310287E+07   0.247049E+01
   0.428025E-01   0.595986E+07   0.591774E+07  -0.971313E+02  -0.971713E+02   0.134500E+07   0.593098E+07   0.595279E+07   0.593098E+07  -0.133870E+00   0.300175E+07   0.300146E+07   0.227597E+01
   0.442533E-01   0.576853E+07   0.572810E+07  -0.879585E+02  -0.879947E+02   0.125712E+07   0.574042E+07   0.576174E+07   0.574042E+07  -0.129568E+00   0.290535E+07   0.290508E+07   0.207804E+01
   0.457533E-01   0.558723E+07   0.554871E+07  -0.797080E+02  -0.797408E+02   0.117522E+07   0.555991E+07   0.558076E+07   0.555991E+07  -0.125494E+00   0.281404E+07   0.281378E+07   0.187889E+01
   0.473041E-01   0.541578E+07   0.537938E+07  -0.722874E+02  -0.723171E+02   0.109900E+07   0.538927E+07   0.540967E+07   0.538927E+07  -0.121642E+00   0.272771E+07   0.272748E+07   0.168094E+01
   0.489075E-01   0.525373E+07   0.521962E+07  -0.656097E+02  -0.656367E+02   0.102805E+07   0.522803E+07   0.524800E+07   0.522803E+07  -0.118003E+00   0.264615E+07   0.264593E+07   0.148675E+01
   0.505652E-01   0.510041E+07   0.506871E+07  -0.595945E+02  -0.596191E+02   0.961971E+06   0.507552E+07   0.509508E+07   0.507552E+07  -0.114561E+00   0.256899E+07   0.256880E+07   0.129900E+01
   0.522791E-01   0.495496E+07   0.492576E+07  -0.541684E+02  -0.541907E+02   0.900332E+06   0.493090E+07   0.495006E+07   0.493090E+07  -0.111296E+00   0.249583E+07   0.249565E+07   0.112037E+01
   0.540511E-01   0.481650E+07   0.478982E+07  -0.492654E+02  -0.492856E+02   0.842753E+06   0.479323E+07   0.481202E+07   0.479323E+07  -0.108189E+00   0.242618E+07   0.242603E+07   0.953565E+00
   0.558832E-01   0.468401E+07   0.465984E+07  -0.448264E+02  -0.448449E+02   0.788848E+06   0.466153E+07   0.467995E+07   0.466153E+07  -0.105217E+00   0.235955E+07   0.235942E+07   0.801057E+00
   0.577774E-01   0.455647E+07   0.453471E+07  -0.407992E+02  -0.408159E+02   0.738270E+06   0.453477E+07   0.455282E+07   0.453477E+07  -0.102355E+00   0.229542E+07   0.229530E+07   0.665088E+00
   0.605007E-01   0.439171E+07   0.437300E+07  -0.358699E+02  -0.358847E+02   0.674049E+06   0.437099E+07   0.438857E+07   0.437099E+07  -0.986586E-01   0.221256E+07   0.221246E+07   0.507467E+00
   0.632240E-01   0.423382E+07   0.421760E+07  -0.316706E+02  -0.316837E+02   0.616519E+06   0.421399E+07   0.423110E+07   0.421399E+07  -0.951150E-01   0.213312E+07   0.213305E+07   0.393045E+00
   0.659473E-01   0.408160E+07   0.406724E+07  -0.280663E+02  -0.280778E+02   0.564732E+06   0.406256E+07   0.407919E+07   0.406256E+07  -0.916969E-01   0.205650E+07   0.205644E+07   0.317420E+00
   0.686706E-01   0.393140E+07   0.391828E+07  -0.249347E+02  -0.249449E+02   0.517556E+06   0.391305E+07   0.392920E+07   0.391305E+07  -0.883224E-01   0.198085E+07   0.198079E+07   0.275155E+00
   0.713939E-01   0.378098E+07   0.376850E+07  -0.221880E+02  -0.221971E+02   0.474222E+06   0.376325E+07   0.377889E+07   0.376325E+07  -0.849411E-01   0.190504E+07   0.190499E+07   0.259956E+00
   0.741172E-01   0.362961E+07   0.361724E+07  -0.197644E+02  -0.197725E+02   0.434254E+06   0.361242E+07   0.362753E+07   0.361242E+07  -0.815367E-01   0.182872E+07   0.182866E+07   0.265141E+00
   0.768405E-01   0.347788E+07   0.346522E+07  -0.176202E+02  -0.176275E+02   0.397389E+06   0.346118E+07   0.347575E+07   0.346118E+07  -0.781232E-01   0.175218E+07   0.175211E+07   0.284053E+00
