#           k/h    P           
    0.18818E+00    0.19635E+04
    0.19198E+00    0.19080E+04
    0.19586E+00    0.18445E+04
    0.19982E+00    0.17734E+04
    0.20386E+00    0.16970E+04
    0.20797E+00    0.16181E+04
    0.21218E+00    0.15401E+04
    0.21646E+00    0.14663E+04
    0.22083E+00    0.13994E+04
    0.22530E+00    0.13416E+04
    0.22985E+00    0.12928E+04
    0.23449E+00    0.12522E+04
    0.23923E+00    0.12171E+04
    0.24406E+00    0.11844E+04
    0.24899E+00    0.11513E+04
    0.25402E+00    0.11157E+04
    0.25915E+00    0.10764E+04
    0.26439E+00    0.10331E+04
    0.26973E+00    0.98743E+03
    0.27518E+00    0.94166E+03
    0.28074E+00    0.89827E+03
    0.28641E+00    0.85913E+03
    0.29219E+00    0.82478E+03
    0.29810E+00    0.79501E+03
    0.30412E+00    0.76845E+03
    0.31026E+00    0.74347E+03
    0.31653E+00    0.71818E+03
    0.32292E+00    0.69135E+03
    0.32945E+00    0.66311E+03
    0.33610E+00    0.63415E+03
    0.34289E+00    0.60597E+03
    0.34982E+00    0.57969E+03
    0.35689E+00    0.55592E+03
    0.36409E+00    0.53460E+03
    0.37145E+00    0.51482E+03
    0.37895E+00    0.49571E+03
    0.38661E+00    0.47643E+03
    0.39442E+00    0.45677E+03
    0.40239E+00    0.43719E+03
    0.41052E+00    0.41827E+03
    0.41881E+00    0.40060E+03
    0.42727E+00    0.38430E+03
    0.43590E+00    0.36901E+03
    0.44471E+00    0.35434E+03
    0.45369E+00    0.33986E+03
    0.46286E+00    0.32553E+03
    0.47221E+00    0.31161E+03
    0.48174E+00    0.29831E+03
    0.49148E+00    0.28580E+03
    0.50141E+00    0.27398E+03
    0.51153E+00    0.26260E+03
    0.52187E+00    0.25155E+03
    0.53241E+00    0.24081E+03
    0.54317E+00    0.23046E+03
    0.55414E+00    0.22061E+03
    0.56533E+00    0.21124E+03
    0.57675E+00    0.20226E+03
    0.58840E+00    0.19360E+03
    0.60029E+00    0.18525E+03
    0.61242E+00    0.17722E+03
    0.62479E+00    0.16956E+03
    0.63741E+00    0.16224E+03
    0.65029E+00    0.15522E+03
    0.66342E+00    0.14848E+03
    0.67683E+00    0.14201E+03
    0.69050E+00    0.13581E+03
    0.70445E+00    0.12986E+03
    0.71868E+00    0.12416E+03
    0.73320E+00    0.11869E+03
    0.74801E+00    0.11346E+03
    0.76312E+00    0.10844E+03
    0.77854E+00    0.10363E+03
    0.79426E+00    0.99033E+02
    0.81031E+00    0.94629E+02
    0.82668E+00    0.90413E+02
    0.84338E+00    0.86379E+02
    0.86041E+00    0.82517E+02
