# x 	 U
1.718750000000000000e-01 5.383300781250000000e-02
1.757812500000000000e-01 5.255889892578125000e-02
1.796875000000000000e-01 5.130004882812500000e-02
1.835937500000000000e-01 5.005645751953125000e-02
1.875000000000000000e-01 4.882812500000000000e-02
1.914062500000000000e-01 4.761505126953125000e-02
1.953125000000000000e-01 4.641723632812500000e-02
1.992187500000000000e-01 4.523468017578125000e-02
2.031250000000000000e-01 4.406738281250000000e-02
2.070312500000000000e-01 4.291534423828125000e-02
2.109375000000000000e-01 4.177856445312500000e-02
2.148437500000000000e-01 4.065704345703125000e-02
2.187500000000000000e-01 3.955078125000000000e-02
2.226562500000000000e-01 3.845977783203125000e-02
2.265625000000000000e-01 3.738403320312500000e-02
2.304687500000000000e-01 3.632354736328125000e-02
2.343750000000000000e-01 3.527832031250000000e-02
2.382812500000000000e-01 3.424835205078125000e-02
2.421875000000000000e-01 3.323364257812500000e-02
2.460937500000000000e-01 3.223419189453125000e-02
2.500000000000000000e-01 3.125000000000000000e-02
2.539062500000000000e-01 3.028106689453125000e-02
2.578125000000000000e-01 2.932739257812500000e-02
2.617187500000000000e-01 2.838897705078125000e-02
2.656250000000000000e-01 2.746582031250000000e-02
2.695312500000000000e-01 2.655792236328125000e-02
2.734375000000000000e-01 2.566528320312500000e-02
2.773437500000000000e-01 2.478790283203125000e-02
2.812500000000000000e-01 2.392578125000000000e-02
2.851562500000000000e-01 2.307891845703125000e-02
2.890625000000000000e-01 2.224731445312500000e-02
2.929687500000000000e-01 2.143096923828125000e-02
2.968750000000000000e-01 2.062988281250000000e-02
3.007812500000000000e-01 1.984405517578125000e-02
3.046875000000000000e-01 1.907348632812500000e-02
3.085937500000000000e-01 1.831817626953125000e-02
3.125000000000000000e-01 1.757812500000000000e-02
3.164062500000000000e-01 1.685333251953125000e-02
3.203125000000000000e-01 1.614379882812500000e-02
3.242187500000000000e-01 1.544952392578125000e-02
3.281250000000000000e-01 1.477050781250000000e-02
3.320312500000000000e-01 1.410675048828125000e-02
3.359375000000000000e-01 1.345825195312500000e-02
3.398437500000000000e-01 1.282501220703125000e-02
3.437500000000000000e-01 1.220703125000000000e-02
3.476562500000000000e-01 1.160430908203125000e-02
3.515625000000000000e-01 1.101684570312500000e-02
3.554687500000000000e-01 1.044464111328125000e-02
3.593750000000000000e-01 9.887695312500000000e-03
3.632812500000000000e-01 9.346008300781250000e-03
3.671875000000000000e-01 8.819580078125000000e-03
3.710937500000000000e-01 8.308410644531250000e-03
3.750000000000000000e-01 7.812500000000000000e-03
3.789062500000000000e-01 7.331848144531250000e-03
3.828125000000000000e-01 6.866455078125000000e-03
3.867187500000000000e-01 6.416320800781250000e-03
3.906250000000000000e-01 5.981445312500000000e-03
3.945312500000000000e-01 5.561828613281250000e-03
3.984375000000000000e-01 5.157470703125000000e-03
4.023437500000000000e-01 4.768371582031250000e-03
4.062500000000000000e-01 4.394531250000000000e-03
4.101562500000000000e-01 4.035949707031250000e-03
4.140625000000000000e-01 3.692626953125000000e-03
4.179687500000000000e-01 3.364562988281250000e-03
4.218750000000000000e-01 3.051757812500000000e-03
4.257812500000000000e-01 2.754211425781250000e-03
4.296875000000000000e-01 2.471923828125000000e-03
4.335937500000000000e-01 2.204895019531250000e-03
4.375000000000000000e-01 1.953125000000000000e-03
4.414062500000000000e-01 1.716613769531250000e-03
4.453125000000000000e-01 1.495361328125000000e-03
4.492187500000000000e-01 1.289367675781250000e-03
4.531250000000000000e-01 1.098632812500000000e-03
4.570312500000000000e-01 9.231567382812500000e-04
4.609375000000000000e-01 7.629394531250000000e-04
4.648437500000000000e-01 6.179809570312500000e-04
4.687500000000000000e-01 4.882812500000000000e-04
4.726562500000000000e-01 3.738403320312500000e-04
4.765625000000000000e-01 2.746582031250000000e-04
4.804687500000000000e-01 1.907348632812500000e-04
4.843750000000000000e-01 1.220703125000000000e-04
4.882812500000000000e-01 6.866455078125000000e-05
4.921875000000000000e-01 3.051757812500000000e-05
4.960937500000000000e-01 7.629394531250000000e-06
5.000000000000000000e-01 0.000000000000000000e+00
5.039062500000000000e-01 7.629394531250000000e-06
5.078125000000000000e-01 3.051757812500000000e-05
5.117187500000000000e-01 6.866455078125000000e-05
5.156250000000000000e-01 1.220703125000000000e-04
5.195312500000000000e-01 1.907348632812500000e-04
5.234375000000000000e-01 2.746582031250000000e-04
5.273437500000000000e-01 3.738403320312500000e-04
5.312500000000000000e-01 4.882812500000000000e-04
5.351562500000000000e-01 6.179809570312500000e-04
5.390625000000000000e-01 7.629394531250000000e-04
5.429687500000000000e-01 9.231567382812500000e-04
5.468750000000000000e-01 1.098632812500000000e-03
5.507812500000000000e-01 1.289367675781250000e-03
5.546875000000000000e-01 1.495361328125000000e-03
5.585937500000000000e-01 1.716613769531250000e-03
5.625000000000000000e-01 1.953125000000000000e-03
5.664062500000000000e-01 2.204895019531250000e-03
5.703125000000000000e-01 2.471923828125000000e-03
5.742187500000000000e-01 2.754211425781250000e-03
5.781250000000000000e-01 3.051757812500000000e-03
5.820312500000000000e-01 3.364562988281250000e-03
5.859375000000000000e-01 3.692626953125000000e-03
5.898437500000000000e-01 4.035949707031250000e-03
5.937500000000000000e-01 4.394531250000000000e-03
5.976562500000000000e-01 4.768371582031250000e-03
6.015625000000000000e-01 5.157470703125000000e-03
6.054687500000000000e-01 5.561828613281250000e-03
6.093750000000000000e-01 5.981445312500000000e-03
6.132812500000000000e-01 6.416320800781250000e-03
6.171875000000000000e-01 6.866455078125000000e-03
6.210937500000000000e-01 7.331848144531250000e-03
6.250000000000000000e-01 7.812500000000000000e-03
6.289062500000000000e-01 8.308410644531250000e-03
6.328125000000000000e-01 8.819580078125000000e-03
6.367187500000000000e-01 9.346008300781250000e-03
6.406250000000000000e-01 9.887695312500000000e-03
6.445312500000000000e-01 1.044464111328125000e-02
6.484375000000000000e-01 1.101684570312500000e-02
6.523437500000000000e-01 1.160430908203125000e-02
