# Re(psi) 	 Im(psi)
4.799839202994870546e-01 0.000000000000000000e+00
4.987426900145747743e-01 0.000000000000000000e+00
5.180369383521701288e-01 0.000000000000000000e+00
5.378723785030881110e-01 0.000000000000000000e+00
5.582543124773823306e-01 0.000000000000000000e+00
5.791876071206641940e-01 0.000000000000000000e+00
6.006766700624154298e-01 0.000000000000000000e+00
6.227254256497790630e-01 0.000000000000000000e+00
6.453372909223723530e-01 0.000000000000000000e+00
6.685151516856228104e-01 0.000000000000000000e+00
6.922613387419808140e-01 0.000000000000000000e+00
7.165776043411057339e-01 0.000000000000000000e+00
7.414650989117247404e-01 0.000000000000000000e+00
7.669243481393442918e-01 0.000000000000000000e+00
7.929552304553201258e-01 0.000000000000000000e+00
8.195569550039578655e-01 0.000000000000000000e+00
8.467280401553273217e-01 0.000000000000000000e+00
8.744662926322972485e-01 0.000000000000000000e+00
9.027687873209420122e-01 0.000000000000000000e+00
9.316318478339274956e-01 0.000000000000000000e+00
9.610510278967294706e-01 0.000000000000000000e+00
9.910210936265813064e-01 0.000000000000000000e+00
1.021536006773877459e+00 0.000000000000000000e+00
1.052588908995362393e+00 0.000000000000000000e+00
1.084172107227812987e+00 0.000000000000000000e+00
1.116277060230069784e+00 0.000000000000000000e+00
1.148894366360180941e+00 0.000000000000000000e+00
1.182013752653095828e+00 0.000000000000000000e+00
1.215624065262765674e+00 0.000000000000000000e+00
1.249713261330700709e+00 0.000000000000000000e+00
1.284268402340965176e+00 0.000000000000000000e+00
1.319275649019284957e+00 0.000000000000000000e+00
1.354720257831397268e+00 0.000000000000000000e+00
1.390586579132973011e+00 0.000000000000000000e+00
1.426858057020409021e+00 0.000000000000000000e+00
1.463517230928533808e+00 0.000000000000000000e+00
1.500545739017751901e+00 0.000000000000000000e+00
1.537924323389453507e+00 0.000000000000000000e+00
1.575632837164560041e+00 0.000000000000000000e+00
1.613650253455941375e+00 0.000000000000000000e+00
1.651954676261089050e+00 0.000000000000000000e+00
1.690523353296891074e+00 0.000000000000000000e+00
1.729332690793646155e+00 0.000000000000000000e+00
1.768358270260567133e+00 0.000000000000000000e+00
1.807574867229989612e+00 0.000000000000000000e+00
1.846956471982329040e+00 0.000000000000000000e+00
1.886476312248527520e+00 0.000000000000000000e+00
1.926106877881321955e+00 0.000000000000000000e+00
1.965819947481163066e+00 0.000000000000000000e+00
2.005586616957034440e+00 0.000000000000000000e+00
2.045377329996787008e+00 0.000000000000000000e+00
2.085161910415917141e+00 0.000000000000000000e+00
2.124909596348037777e+00 0.000000000000000000e+00
2.164589076234558984e+00 0.000000000000000000e+00
2.204168526565450481e+00 0.000000000000000000e+00
2.243615651317271364e+00 0.000000000000000000e+00
2.282897723029106984e+00 0.000000000000000000e+00
2.321981625451508879e+00 0.000000000000000000e+00
2.360833897698138895e+00 0.000000000000000000e+00
2.399420779824539718e+00 0.000000000000000000e+00
2.437708259753274653e+00 0.000000000000000000e+00
2.475662121459718978e+00 0.000000000000000000e+00
2.513247994327956203e+00 0.000000000000000000e+00
2.550431403581629120e+00 0.000000000000000000e+00
2.587177821690207047e+00 0.000000000000000000e+00
2.623452720646970437e+00 0.000000000000000000e+00
2.659221625011120693e+00 0.000000000000000000e+00
2.694450165602797043e+00 0.000000000000000000e+00
2.729104133736447224e+00 0.000000000000000000e+00
2.763149535874968254e+00 0.000000000000000000e+00
2.796552648584318401e+00 0.000000000000000000e+00
2.829280073665937145e+00 0.000000000000000000e+00
2.861298793342256896e+00 0.000000000000000000e+00
2.892576225368941323e+00 0.000000000000000000e+00
2.923080277946162209e+00 0.000000000000000000e+00
2.952779404300298616e+00 0.000000000000000000e+00
2.981642656806904323e+00 0.000000000000000000e+00
3.009639740525626550e+00 0.000000000000000000e+00
3.036741066017998314e+00 0.000000000000000000e+00
