# x	rho
-2.254901960784313708e+00 0.000000000000000000e+00
-2.215686274509804043e+00 0.000000000000000000e+00
-2.176470588235294379e+00 0.000000000000000000e+00
-2.137254901960784270e+00 0.000000000000000000e+00
-2.098039215686274606e+00 0.000000000000000000e+00
-2.058823529411764941e+00 0.000000000000000000e+00
-2.019607843137254832e+00 0.000000000000000000e+00
-1.980392156862745168e+00 0.000000000000000000e+00
-1.941176470588235503e+00 5.551115123125782702e-17
-1.901960784313725394e+00 2.220446049250313081e-16
-1.862745098039215730e+00 1.054711873393898713e-15
-1.823529411764706065e+00 4.940492459581946605e-15
-1.784313725490195957e+00 2.370326157574709214e-14
-1.745098039215686292e+00 1.138533711753098032e-13
-1.705882352941176627e+00 5.464517727205020492e-13
-1.666666666666666519e+00 2.623068429130626100e-12
-1.627450980392156854e+00 1.259098381112266907e-11
-1.588235294117647189e+00 6.043748834727580288e-11
-1.549019607843137081e+00 2.901032192248464980e-10
-1.509803921568627416e+00 1.392511550513120255e-09
-1.470588235294117752e+00 6.684132414225274488e-09
-1.431372549019608087e+00 3.208420473743700541e-08
-1.392156862745097978e+00 1.540059400007010026e-07
-1.352941176470588314e+00 7.392366050407161993e-07
-1.313725490196078649e+00 3.548366659666957190e-06
-1.274509803921568540e+00 1.703212673964671353e-05
-1.235294117647058876e+00 8.174986013426144282e-05
-1.196078431372549211e+00 3.922819902710261708e-04
-1.156862745098039102e+00 1.880172509131472491e-03
-1.117647058823529438e+00 8.960908590524452322e-03
-1.078431372549019773e+00 4.159641820259457612e-02
-1.039215686274509665e+00 1.724121474878047011e-01
-1.000000000000000000e+00 5.000000000000000000e-01
-9.607843137254903354e-01 8.275878525121953544e-01
-9.215686274509806708e-01 9.584035817974047022e-01
-8.823529411764710062e-01 9.910390914094753256e-01
-8.431372549019604534e-01 9.981198274908684720e-01
-8.039215686274507888e-01 9.996077180097289183e-01
-7.647058823529411242e-01 9.999182501398657941e-01
-7.254901960784314596e-01 9.999829678732603533e-01
-6.862745098039217950e-01 9.999964516333403886e-01
-6.470588235294121304e-01 9.999992607633949593e-01
-6.078431372549015776e-01 9.999998459940599993e-01
-5.686274509803919130e-01 9.999999679157952626e-01
-5.294117647058822484e-01 9.999999933158676413e-01
-4.901960784313725839e-01 9.999999986074884495e-01
-4.509803921568629193e-01 9.999999997098967253e-01
-4.117647058823532547e-01 9.999999999395625672e-01
-3.725490196078435901e-01 9.999999999874089607e-01
-3.333333333333330373e-01 9.999999999973769871e-01
-2.941176470588233727e-01 9.999999999994535482e-01
-2.549019607843137081e-01 9.999999999998860911e-01
-2.156862745098040435e-01 9.999999999999762412e-01
-1.764705882352943789e-01 9.999999999999951150e-01
-1.372549019607847143e-01 9.999999999999988898e-01
-9.803921568627416150e-02 9.999999999999997780e-01
-5.882352941176449690e-02 1.000000000000000000e+00
-1.960784313725483230e-02 1.000000000000000000e+00
1.960784313725483230e-02 1.000000000000000000e+00
5.882352941176449690e-02 1.000000000000000000e+00
9.803921568627416150e-02 9.999999999999997780e-01
1.372549019607838261e-01 9.999999999999988898e-01
1.764705882352943789e-01 9.999999999999951150e-01
2.156862745098040435e-01 9.999999999999762412e-01
2.549019607843137081e-01 9.999999999998860911e-01
2.941176470588233727e-01 9.999999999994535482e-01
3.333333333333330373e-01 9.999999999973769871e-01
3.725490196078427019e-01 9.999999999874089607e-01
4.117647058823532547e-01 9.999999999395625672e-01
4.509803921568629193e-01 9.999999997098967253e-01
4.901960784313725839e-01 9.999999986074884495e-01
5.294117647058822484e-01 9.999999933158676413e-01
5.686274509803919130e-01 9.999999679157952626e-01
6.078431372549015776e-01 9.999998459940599993e-01
6.470588235294112422e-01 9.999992607633949593e-01
6.862745098039217950e-01 9.999964516333403886e-01
