# Re(psi) 	 Im(psi)
3.726039311696082140e-03 0.000000000000000000e+00
3.996206425923273624e-03 0.000000000000000000e+00
4.284328124567421056e-03 0.000000000000000000e+00
4.591471211331710559e-03 0.000000000000000000e+00
4.918756642878344999e-03 0.000000000000000000e+00
5.267361640005246634e-03 0.000000000000000000e+00
5.638521838649031802e-03 0.000000000000000000e+00
6.033533478457967468e-03 0.000000000000000000e+00
6.453755626414540286e-03 0.000000000000000000e+00
6.900612432712329054e-03 0.000000000000000000e+00
7.375595415806494685e-03 0.000000000000000000e+00
7.880265773261471360e-03 0.000000000000000000e+00
8.416256714713798992e-03 0.000000000000000000e+00
8.985275812952928098e-03 0.000000000000000000e+00
9.589107368798468686e-03 0.000000000000000000e+00
1.022961478511965477e-02 0.000000000000000000e+00
1.090874294500194901e-02 0.000000000000000000e+00
1.162852058871767513e-02 0.000000000000000000e+00
1.239106268380299469e-02 0.000000000000000000e+00
1.319857278218317283e-02 0.000000000000000000e+00
1.405334535792295350e-02 0.000000000000000000e+00
1.495776811880982285e-02 0.000000000000000000e+00
1.591432428460613085e-02 0.000000000000000000e+00
1.692559482443256602e-02 0.000000000000000000e+00
1.799426064537148345e-02 0.000000000000000000e+00
1.912310472400558306e-02 0.000000000000000000e+00
2.031501417223639805e-02 0.000000000000000000e+00
2.157298222836002283e-02 0.000000000000000000e+00
2.290011016401523672e-02 0.000000000000000000e+00
2.429960909726427282e-02 0.000000000000000000e+00
2.577480170171947069e-02 0.000000000000000000e+00
2.732912380129274774e-02 0.000000000000000000e+00
2.896612583982036485e-02 0.000000000000000000e+00
3.068947421450496024e-02 0.000000000000000000e+00
3.250295246182232506e-02 0.000000000000000000e+00
3.441046228426368481e-02 0.000000000000000000e+00
3.641602440602755703e-02 0.000000000000000000e+00
3.852377924554060279e-02 0.000000000000000000e+00
4.073798739247644352e-02 0.000000000000000000e+00
4.306302987675716953e-02 0.000000000000000000e+00
4.550340821686702647e-02 0.000000000000000000e+00
4.806374423468250806e-02 0.000000000000000000e+00
5.074877962393156694e-02 0.000000000000000000e+00
