# x 	 U
6.679687500000000000e+00 1.410675048828125000e+00
6.699218750000000000e+00 1.443672180175781250e+00
6.718750000000000000e+00 1.477050781250000000e+00
6.738281250000000000e+00 1.510810852050781250e+00
6.757812500000000000e+00 1.544952392578125000e+00
6.777343750000000000e+00 1.579475402832031250e+00
6.796875000000000000e+00 1.614379882812500000e+00
6.816406250000000000e+00 1.649665832519531250e+00
6.835937500000000000e+00 1.685333251953125000e+00
6.855468750000000000e+00 1.721382141113281250e+00
6.875000000000000000e+00 1.757812500000000000e+00
6.894531250000000000e+00 1.794624328613281250e+00
6.914062500000000000e+00 1.831817626953125000e+00
6.933593750000000000e+00 1.869392395019531250e+00
6.953125000000000000e+00 1.907348632812500000e+00
6.972656250000000000e+00 1.945686340332031250e+00
6.992187500000000000e+00 1.984405517578125000e+00
7.011718750000000000e+00 2.023506164550781250e+00
7.031250000000000000e+00 2.062988281250000000e+00
7.050781250000000000e+00 2.102851867675781250e+00
7.070312500000000000e+00 2.143096923828125000e+00
7.089843750000000000e+00 2.183723449707031250e+00
7.109375000000000000e+00 2.224731445312500000e+00
7.128906250000000000e+00 2.266120910644531250e+00
7.148437500000000000e+00 2.307891845703125000e+00
7.167968750000000000e+00 2.350044250488281250e+00
7.187500000000000000e+00 2.392578125000000000e+00
7.207031250000000000e+00 2.435493469238281250e+00
7.226562500000000000e+00 2.478790283203125000e+00
7.246093750000000000e+00 2.522468566894531250e+00
7.265625000000000000e+00 2.566528320312500000e+00
7.285156250000000000e+00 2.610969543457031250e+00
7.304687500000000000e+00 2.655792236328125000e+00
7.324218750000000000e+00 2.700996398925781250e+00
7.343750000000000000e+00 2.746582031250000000e+00
7.363281250000000000e+00 2.792549133300781250e+00
7.382812500000000000e+00 2.838897705078125000e+00
7.402343750000000000e+00 2.885627746582031250e+00
7.421875000000000000e+00 2.932739257812500000e+00
7.441406250000000000e+00 2.980232238769531250e+00
7.460937500000000000e+00 3.028106689453125000e+00
7.480468750000000000e+00 3.076362609863281250e+00
7.500000000000000000e+00 3.125000000000000000e+00
7.519531250000000000e+00 3.174018859863281250e+00
7.539062500000000000e+00 3.223419189453125000e+00
7.558593750000000000e+00 3.273200988769531250e+00
7.578125000000000000e+00 3.323364257812500000e+00
7.597656250000000000e+00 3.373908996582031250e+00
7.617187500000000000e+00 3.424835205078125000e+00
7.636718750000000000e+00 3.476142883300781250e+00
7.656250000000000000e+00 3.527832031250000000e+00
7.675781250000000000e+00 3.579902648925781250e+00
7.695312500000000000e+00 3.632354736328125000e+00
7.714843750000000000e+00 3.685188293457031250e+00
7.734375000000000000e+00 3.738403320312500000e+00
7.753906250000000000e+00 3.791999816894531250e+00
7.773437500000000000e+00 3.845977783203125000e+00
7.792968750000000000e+00 3.900337219238281250e+00
7.812500000000000000e+00 3.955078125000000000e+00
7.832031250000000000e+00 4.010200500488281250e+00
7.851562500000000000e+00 4.065704345703125000e+00
7.871093750000000000e+00 4.121589660644531250e+00
7.890625000000000000e+00 4.177856445312500000e+00
7.910156250000000000e+00 4.234504699707031250e+00
7.929687500000000000e+00 4.291534423828125000e+00
7.949218750000000000e+00 4.348945617675781250e+00
7.968750000000000000e+00 4.406738281250000000e+00
7.988281250000000000e+00 4.464912414550781250e+00
8.007812500000000000e+00 4.523468017578125000e+00
8.027343750000000000e+00 4.582405090332031250e+00
8.046875000000000000e+00 4.641723632812500000e+00
8.066406250000000000e+00 4.701423645019531250e+00
8.085937500000000000e+00 4.761505126953125000e+00
8.105468750000000000e+00 4.821968078613281250e+00
8.125000000000000000e+00 4.882812500000000000e+00
8.144531250000000000e+00 4.944038391113281250e+00
8.164062500000000000e+00 5.005645751953125000e+00
8.183593750000000000e+00 5.067634582519531250e+00
8.203125000000000000e+00 5.130004882812500000e+00
8.222656250000000000e+00 5.192756652832031250e+00
8.242187500000000000e+00 5.255889892578125000e+00
8.261718750000000000e+00 5.319404602050781250e+00
8.281250000000000000e+00 5.383300781250000000e+00
8.300781250000000000e+00 5.447578430175781250e+00
8.320312500000000000e+00 5.512237548828125000e+00
8.339843750000000000e+00 5.577278137207031250e+00
8.359375000000000000e+00 5.642700195312500000e+00
8.378906250000000000e+00 5.708503723144531250e+00
8.398437500000000000e+00 5.774688720703125000e+00
8.417968750000000000e+00 5.841255187988281250e+00
8.437500000000000000e+00 5.908203125000000000e+00
8.457031250000000000e+00 5.975532531738281250e+00
8.476562500000000000e+00 6.043243408203125000e+00
8.496093750000000000e+00 6.111335754394531250e+00
8.515625000000000000e+00 6.179809570312500000e+00
