# x 	 U
1.542968750000000000e+00 3.576068878173828125e+01
1.562500000000000000e+00 3.559570312500000000e+01
1.582031250000000000e+00 3.543109893798828125e+01
1.601562500000000000e+00 3.526687622070312500e+01
1.621093750000000000e+00 3.510303497314453125e+01
1.640625000000000000e+00 3.493957519531250000e+01
1.660156250000000000e+00 3.477649688720703125e+01
1.679687500000000000e+00 3.461380004882812500e+01
1.699218750000000000e+00 3.445148468017578125e+01
1.718750000000000000e+00 3.428955078125000000e+01
1.738281250000000000e+00 3.412799835205078125e+01
1.757812500000000000e+00 3.396682739257812500e+01
1.777343750000000000e+00 3.380603790283203125e+01
1.796875000000000000e+00 3.364562988281250000e+01
1.816406250000000000e+00 3.348560333251953125e+01
1.835937500000000000e+00 3.332595825195312500e+01
1.855468750000000000e+00 3.316669464111328125e+01
1.875000000000000000e+00 3.300781250000000000e+01
1.894531250000000000e+00 3.284931182861328125e+01
1.914062500000000000e+00 3.269119262695312500e+01
1.933593750000000000e+00 3.253345489501953125e+01
1.953125000000000000e+00 3.237609863281250000e+01
1.972656250000000000e+00 3.221912384033203125e+01
1.992187500000000000e+00 3.206253051757812500e+01
2.011718750000000000e+00 3.190631866455078125e+01
2.031250000000000000e+00 3.175048828125000000e+01
2.050781250000000000e+00 3.159503936767578125e+01
2.070312500000000000e+00 3.143997192382812500e+01
2.089843750000000000e+00 3.128528594970703125e+01
2.109375000000000000e+00 3.113098144531250000e+01
2.128906250000000000e+00 3.097705841064453125e+01
2.148437500000000000e+00 3.082351684570312500e+01
2.167968750000000000e+00 3.067035675048828125e+01
2.187500000000000000e+00 3.051757812500000000e+01
2.207031250000000000e+00 3.036518096923828125e+01
2.226562500000000000e+00 3.021316528320312500e+01
2.246093750000000000e+00 3.006153106689453125e+01
2.265625000000000000e+00 2.991027832031250000e+01
2.285156250000000000e+00 2.975940704345703125e+01
2.304687500000000000e+00 2.960891723632812500e+01
2.324218750000000000e+00 2.945880889892578125e+01
2.343750000000000000e+00 2.930908203125000000e+01
2.363281250000000000e+00 2.915973663330078125e+01
2.382812500000000000e+00 2.901077270507812500e+01
2.402343750000000000e+00 2.886219024658203125e+01
2.421875000000000000e+00 2.871398925781250000e+01
2.441406250000000000e+00 2.856616973876953125e+01
2.460937500000000000e+00 2.841873168945312500e+01
2.480468750000000000e+00 2.827167510986328125e+01
2.500000000000000000e+00 2.812500000000000000e+01
2.519531250000000000e+00 2.797870635986328125e+01
2.539062500000000000e+00 2.783279418945312500e+01
2.558593750000000000e+00 2.768726348876953125e+01
2.578125000000000000e+00 2.754211425781250000e+01
2.597656250000000000e+00 2.739734649658203125e+01
2.617187500000000000e+00 2.725296020507812500e+01
2.636718750000000000e+00 2.710895538330078125e+01
2.656250000000000000e+00 2.696533203125000000e+01
2.675781250000000000e+00 2.682209014892578125e+01
2.695312500000000000e+00 2.667922973632812500e+01
2.714843750000000000e+00 2.653675079345703125e+01
2.734375000000000000e+00 2.639465332031250000e+01
2.753906250000000000e+00 2.625293731689453125e+01
2.773437500000000000e+00 2.611160278320312500e+01
2.792968750000000000e+00 2.597064971923828125e+01
2.812500000000000000e+00 2.583007812500000000e+01
2.832031250000000000e+00 2.568988800048828125e+01
2.851562500000000000e+00 2.555007934570312500e+01
2.871093750000000000e+00 2.541065216064453125e+01
2.890625000000000000e+00 2.527160644531250000e+01
2.910156250000000000e+00 2.513294219970703125e+01
2.929687500000000000e+00 2.499465942382812500e+01
2.949218750000000000e+00 2.485675811767578125e+01
2.968750000000000000e+00 2.471923828125000000e+01
2.988281250000000000e+00 2.458209991455078125e+01
3.007812500000000000e+00 2.444534301757812500e+01
3.027343750000000000e+00 2.430896759033203125e+01
3.046875000000000000e+00 2.417297363281250000e+01
3.066406250000000000e+00 2.403736114501953125e+01
3.085937500000000000e+00 2.390213012695312500e+01
3.105468750000000000e+00 2.376728057861328125e+01
3.125000000000000000e+00 2.363281250000000000e+01
3.144531250000000000e+00 2.349872589111328125e+01
3.164062500000000000e+00 2.336502075195312500e+01
3.183593750000000000e+00 2.323169708251953125e+01
3.203125000000000000e+00 2.309875488281250000e+01
3.222656250000000000e+00 2.296619415283203125e+01
3.242187500000000000e+00 2.283401489257812500e+01
3.261718750000000000e+00 2.270221710205078125e+01
3.281250000000000000e+00 2.257080078125000000e+01
3.300781250000000000e+00 2.243976593017578125e+01
3.320312500000000000e+00 2.230911254882812500e+01
3.339843750000000000e+00 2.217884063720703125e+01
3.359375000000000000e+00 2.204895019531250000e+01
3.378906250000000000e+00 2.191944122314453125e+01
3.398437500000000000e+00 2.179031372070312500e+01
3.417968750000000000e+00 2.166156768798828125e+01
3.437500000000000000e+00 2.153320312500000000e+01
3.457031250000000000e+00 2.140522003173828125e+01
3.476562500000000000e+00 2.127761840820312500e+01
3.496093750000000000e+00 2.115039825439453125e+01
3.515625000000000000e+00 2.102355957031250000e+01
3.535156250000000000e+00 2.089710235595703125e+01
3.554687500000000000e+00 2.077102661132812500e+01
3.574218750000000000e+00 2.064533233642578125e+01
3.593750000000000000e+00 2.052001953125000000e+01
3.613281250000000000e+00 2.039508819580078125e+01
3.632812500000000000e+00 2.027053833007812500e+01
3.652343750000000000e+00 2.014636993408203125e+01
3.671875000000000000e+00 2.002258300781250000e+01
3.691406250000000000e+00 1.989917755126953125e+01
3.710937500000000000e+00 1.977615356445312500e+01
3.730468750000000000e+00 1.965351104736328125e+01
3.750000000000000000e+00 1.953125000000000000e+01
3.769531250000000000e+00 1.940937042236328125e+01
3.789062500000000000e+00 1.928787231445312500e+01
3.808593750000000000e+00 1.916675567626953125e+01
3.828125000000000000e+00 1.904602050781250000e+01
3.847656250000000000e+00 1.892566680908203125e+01
3.867187500000000000e+00 1.880569458007812500e+01
3.886718750000000000e+00 1.868610382080078125e+01
3.906250000000000000e+00 1.856689453125000000e+01
3.925781250000000000e+00 1.844806671142578125e+01
3.945312500000000000e+00 1.832962036132812500e+01
3.964843750000000000e+00 1.821155548095703125e+01
3.984375000000000000e+00 1.809387207031250000e+01
4.003906250000000000e+00 1.797657012939453125e+01
4.023437500000000000e+00 1.785964965820312500e+01
